taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T516r        7        15        50        10        60        red        4
T478b        7        60        40        70        80        blue        4
T472r        7        75        40        70        20        red        5
T728r        7        20        70        20        80        red        4
T637r        7        30        60        30        70        red        4
T931b        7        40        90        30        10        blue        6
T198r        7        55        10        90        80        red        6
T625r        7        30        60        20        50        red        6
T962r        7        75        90        60        20        red        4
T637b        7        70        60        30        70        blue        5
T935r        7        35        90        30        50        red        5
T168r        7        40        10        60        80        red        5
T764r        7        60        70        60        40        red        5
T765b        7        40        70        60        50        blue        6
T582r        7        80        50        80        20        red        4
T913r        7        25        90        10        30        red        4
T764b        7        40        70        60        40        blue        4
T475r        7        60        40        70        50        red        5
T931r        7        75        90        30        10        red        4
T193r        7        80        10        90        30        red        7
T472b        7        30        40        70        20        blue        6
T627r        7        20        60        20        70        red        6
T582b        7        20        50        80        20        blue        7
T573b        7        30        50        70        30        blue        3
T478r        7        45        40        70        80        red        4
T475b        7        35        40        70        50        blue        5
T182r        7        80        10        80        20        red        4
T189r        7        45        10        80        90        red        3
T516b        7        15        50        10        60        blue        3
T326r        7        25        30        20        60        red        8
T842b        8        60        80        40        20        blue        41
T647r        8        50        60        40        70        red        16
T126r        8        80        10        20        60        red        14
T237b        8        90        20        30        70        blue        25
T469b        8        20        40        60        90        blue        14
T746r        8        50        70        40        60        red        29
T978r        8        75        90        70        80        red        19
T126b        8        8        10        20        60        blue        32
T746b        8        50        70        40        60        blue        21
T567b        8        30        50        60        70        blue        20
T391b        8        65        30        90        10        blue        13
T421b        8        70        40        20        10        blue        20
T174b        8        10        10        70        40        blue        17
T213b        8        70        20        10        30        blue        30
T284b        8        2        20        80        40        blue        21
T469r        8        50        40        60        90        red        16
T613b        8        50        60        10        30        blue        35
T421r        8        5        40        20        10        red        18
T518r        8        1        50        10        80        red        11
T927r        8        5        90        20        70        red        8
T748b        8        40        70        40        80        blue        17
T653b        8        45        60        50        30        blue        12
T631b        8        60        60        30        10        blue        20
T125r        8        20        10        20        50        red        8
T274r        8        5        20        70        40        red        15
T291r        8        2        20        90        10        red        13
T138r        8        2        10        30        80        red        19
T567r        8        30        50        60        70        red        12
T842r        8        30        80        40        20        red        14
T756r        8        60        70        50        60        red        10
T756b        8        60        70        50        60        blue        10
T213r        8        1        20        10        30        red        7
T578r        8        20        50        70        80        red        19
T578b        8        25        50        70        80        blue        17
T851r        8        35        80        50        10        red        22
T748r        8        25        70        40        80        red        9
T894b        8        1        80        90        40        blue        7
T284r        8        5        20        80        40        red        20
T978b        8        5        90        70        80        blue        8
T894r        8        85        80        90        40        red        18
T647b        8        40        60        40        70        blue        19
T631r        8        10        60        30        10        red        10
T658r        8        40        60        50        80        red        8
T391r        8        15        30        90        10        red        23
T613r        8        2        60        10        30        red        43
T274b        8        5        20        70        40        blue        9
T518b        8        5        50        10        80        blue        11
T482r        8        15        40        80        20        red        15
T138b        8        1        10        30        80        blue        28
T482b        8        2        40        80        20        blue        16
T824r        8        5        80        20        40        red        8
T653r        8        65        60        50        30        red        11
T174r        8        5        10        70        40        red        16
T125b        8        8        10        20        50        blue        11
T658b        8        55        60        50        80        blue        12
T237r        8        5        20        30        70        red        9
T927b        8        85        90        20        70        blue        12
T291b        8        1        20        90        10        blue        9
T824b        8        80        80        20        40        blue        10
T851b        8        35        80        50        10        blue        13
T265b        9        8        20        60        50        blue        117
T735r        9        15        70        30        50        red        34
T374r        9        21        30        70        40        red        77
T548r        9        33        50        40        80        red        1033
T695b        9        20        60        90        50        blue        42
